title,location,minimum_qual,preferred_qual,responsibilities,education&experience
Software Engineer,"Santa Clara Valley (Cupertino), California, United States","Ability to write clear and high-performance code in Swift, Objective-C and Cocoa Touch
Ability to solve complex technical problems
Ability to analyze large features and implement practical solutions
Ability to step into a large code base and make surgical fixes
Deep understanding of a variety of CS concepts and QA practices
Passion for quality and close attention to details
Strong communication and interpersonal skills
Ability to deliver solid work on tight schedules
Aptitude to independently learn new technologies.",,"Apple Music is looking for extraordinary software engineers to build the next generation of mobile applications. If you’re passionate about writing code, and want to work with world-class engineering teams that ship to millions of users, Apple Music is the place for you. You are a highly skilled developer who strives to deliver great products. You know development standard methodologies, are comfortable working in large code bases, can create tools and frameworks, and can balance multiple projects. Strong attention to detail and a good sense of humor are also welcomed! ","Bachelor’s degree in computer science or related field, or equivalent work experience"
Software Engineer,"Dallas, Texas, United States","5+ years of development experience in Java
Previous experience with Spring framework
Proficiency with SQL and NoSQL database technologies.
Experience with building highly scalable services using a microservices architecture.
Experience with message-based architectures using Kafka or another message broker
REST API design and development experience is preferred
gRPC/Protocol Buffer is not required, but nice to have
Experience writing multi-threaded code
Network Management protocol experience helpful
Ability to express ideas clearly within the team and across other groups.
Comfortable with Git source version control software, and test automation frameworks
Dynamic, smart people and inspiring, innovative technologies are the norm here. Will you join us in crafting solutions that do not yet exist?",,"In this role you will use your technical knowledge to drive features and improvements, and are comfortable with rapidly-evolving designs and requirements and have excellent social skills.
Success frequently depends on working with other teams, such as Network and DC Operations. You have a sense of customer-focused solutions that ""just work,"" and keep this in mind at every step of development.
You will use your technical expertise to tackle rare engineering problems at scale.","Degree in computer science or related field, or equivalent work experience."
Software Engineer,"Santa Clara Valley (Cupertino), California, United States","You have experience in object oriented software development with an understanding of scalable distributed systems.
You have experience working on complex problems and distributed systems where scalability and performance are very important (every millisecond counts).
You have strong problem solving and debugging skills. Ability to communicate effectively, both written and verbal, with technical and non-technical multi-functional teams.
Results oriented and deadline driven. A desire to work in a dynamic and challenging work environment Prior experience in advertising industry is a huge plus.",,"Core Services team is the backbone of Apple’s ads platform, driving the external API’s for advertising and campaign management and the metadata that drives the relevance engine. As a key contributor to this team, you will design and develop secure and scalable back-end systems that deliver key business data to ad servers and big data pipelines. You will build and maintain interfaces used by both internal systems and thousands of developers and advertisers worldwide. You are self-motivated, have excellent design instincts, and enjoy working multi-functionally. You will enjoy high-performing, elegant systems from the ground up, in close partnerships with various teams around you.","Bachelor's degree in Computer Science or equivalent is required Master's degree preferred

Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants."
Software Engineer,"Santa Clara Valley (Cupertino), California, United States","A successful track-record or proven aptitude as a software developer.
Clear skills as a key contributor to highly productive teams.
Real passion for diving into hard problems and working with engineers to build novel solutions.
A contagious curiosity about distributed systems and how to make them better.","Expertise with C++ or similar language, as well as some scripting experience.
Familiarity with No-SQL or other modern data storage systems a plus.
Experience creating custom board games is a plus.
Cloud Computing, Distributed Systems, Infrastructure Engineering, Database Software Engineer, Foundation-DB.","We are designing, coding, and supporting new, critical infrastructure systems that power many of the products and services that make Apple’s experiences so phenomenal. We are growing and so is our mission — each day more of Apple’s customers count on the infrastructure that we provide. And we have fun doing it, too!

This team is bringing the Foundation-DB distributed database technology to the Apple infrastructure ecosystem. In line with this mission, we’re unlocking new productivity and scale for consistent systems state storage services. Many properties across Apple services will rely on the systems our software powers for high-volume, critical, real-time storage. The stakes couldn’t be higher — and the team could not be a better fit for the job.

This Storage Engineering team needs strong, dedicated developers to join as an early member of this group. This person will have a tremendous amount of individual responsibility and influence over the direction the backend of many critical Apple internet services take for years to come. You should be someone who has ideas and passion for software delivered as a service to maximize reuse, efficiency, and simplicity. This work will impact hundreds of millions of users and be important to the success of some of the most visible current and future Apple features.",BS or MS in Computer Science or equivalent work experience.
Software Engineer,"Zurich, Zurich, Switzerland","Fluency in C++
Experience with real time applications
Profiling and optimization skills
Thoroughness
Flexibility
Fluency in English is required
Professional experience in Software Engineering is a plus
Computer Vision knowledge is a plus
Python / Objective-C is a plus
Knowledge of iOS development is a plus",,You will be working on next generation video and image analysis projects in our computer vision research and development team in Zurich. Our work is focused on real time performance and finds its way into the whole range of future apple products. We are improving existing technology as well as developing completely new approaches to enhance the way we interact with devices.,Bachelor / Master Computer Science
Software Developer,"Santa Clara Valley (Cupertino), California, United States","- Knowledge of modern hyperscale server design, manufacturing, integration, and repair processes.
- Experience with sustaining engineering of the full system stack and server architecture, PCB, onboard system components, expansion/expander boards, PCIe, NICs, HBAs and associated storage, PSU, BMC, BIOS/UEFI, etc.
- Minimum 5 years of work experience in onsite data center operations as a network engineer, system engineer, system administrator, hardware repair technician, or combination of multiple roles.
- Must have a thorough understanding of hardware and systems troubleshooting methodology with BIOS/UEFI, command line run-level Linux, and common out of band management systems.
- System engineer scripting level knowledge in one of the following: Perl, Python, or Ruby. Basic shell scripting knowledge is expected.
- Knowledge of the following technologies and applications: DHCP, TCP/IP networking, DNS, anaconda, puppet, yum, configuration key/value stores, grub, systemd, common disk filesystems, system and network security, ipmi, containerization, data center power infrastructure, and common internet services industry best practices.
- Experience in maintaining platform configuration BOMs. firmware and implementation of configuration management processes throughout the system lifecycle. Agile PLM experience a plus.
- Strong understanding of test methodologies, formalized test concepts, test plans, continuous integration and sustaining.
- Experienced with test plan creation and execution to include test automation utilizing 3rd party and in-house developed tools, functional/performance based validation and manual testing as necessary.
- Must be able to independently manage time and reprioritize tasks as necessary while ensuring critical deadlines are met.
- Ability to produce effective and meaningful documentation for technical issues, turning complex operations into clear task topics for action. Present developed materials to a variety of target internal audiences from executive summaries to technician instructions.",,"Drives sustaining engineering processes to enable necessary platform, configuration, and component engineering changes to production systems through end of product lifecycle. Creates and monitors change requests resulting from engineering support investigations, changes in underlying platform firmware and components, and updates for new components added to platforms and configurations as needed. Works with vendors to validate vendor testing, internal test teams to validate changes, and processes changes administratively. Coordinate with suppliers for effective investigation and resolution of endemic hardware issues. Document and report technical changes to end users and management at multiple levels. Consult as needed on additional projects where hardware specialization is needed. Drive to improve standards of quality for hyperscale hardware while maintaining cost efficiency.","B.S. in Computer Engineering, related technical field, or equivalent work experience."
Software Engineer,"Santa Clara Valley (Cupertino), California, United States","- Strong programming skills and 3+ years of experience in C, Objective-C or Swift
- History of shipping software on tight schedules
- Experience with database performance work, parallelism, event-based programming, inter-process communication","- Familiarity with sync, backup, diff and merge algorithms, network performance work
- iOS and Mac OS X development tools including Xcode, Instruments, git
- Self-starter, self-motivated, independent, and dedicated
- Proven ability to work on a large project","We work on the client-side of the iCloud services (CloudKit, iCloud Backup, NSUbiquitousKeyValueStore APIs), building daemons and frameworks running on all Apple platforms. 


IN THIS ROLE YOU WILL DO EVERYTHING FROM:
-  Protocol design

-  Work cross functionally with the server team, to work with the file system and network stacks in our daemons

-  Craft APIs for developers

THE CHALLENGES INCLUDE: 
-  Scalability

-  Reliability

-  Power and performance, critical at this scale (both in the number of users and in the volume of data per user) and for the integration of these iCloud services with the OS.

This job requires both low level (C/Objective C, libdispatch, POSIX APIs) and system-level skills (synchronization protocols, framework design, IPCs, multi-process performance work, system-wide resource sharing.) 

Reliability is essential, and we’re looking for engineers with a real passion for building complex systems that will seamlessly recover in the event of errors. 

We’re passionate about both junior and senior engineers.","Bachelor of Computer Science, Computer Engineering or equivalent"
SW Engineer,"Herzliya, Israel","4+ years experience as a backend developer, on a scalable micro-service architecture
Experience developing in an OOP language, such as Java or C#
Deep understanding of concurrency control, data structures, algorithms; and distributed system architectures such as ZooKeeper and Kafka
Familiarity with different data stores such as Cassandra, Redis and Elasticsearch
Familiarity with batch processing and analysis technologies, such as Hadoop and SparkSelf driven, communicative, and fun to work with!",,"Experience with CI/CD and cloud Environment 
Experience in stream processing and data processing tools and best-practices
Real passion for technology and modern software engineering practices (including reading about technology outside of work)
Plan, Design and develop complex backend features
You will collaborate with diverse teams (developers, business, design) to improve and advance the product
 You will be a part of a global team, working with colleagues across different locations and time-zones
TACKLE SYSTEM ISSUES, PROVIDE QUICK AND THOROUGH SOLUTIONS
Keep our high-quality bar ridiculously high, and help us make it even higher!",B.Sc. in CS or equivalent industry experience
Software Engineer,"Santa Clara Valley (Cupertino), California, United States","A successful track-record and proven experience as a backend internet services software developer.
Proven aptitude for building, launching and operating very large-scale production internet services.",,"We are building, and supporting new, critical infrastructural systems and frameworks which provide and support services like structured and unstructured storage, caching, queueing, searching, and much more. These form the platform upon which many iCloud and other backend systems at Apple are built.

The team is responsible for the next generation platform that will power Apple’s infrastructural services. These services have huge scale and store hundreds of petabytes of data. The platform will support a variety of services based on open-source software, such as Apache Cassandra, SOLR, Zookeeper, Kafka, Redis, etc.

We are looking for a strong, enthusiastic developer to join as a member of this group. This person will have a tremendous amount of individual responsibility and influence over the direction the backend of many critical Apple internet services take for years to come. You are someone with ideas and real passion for software delivered as a service to improve reuse, efficiency, and simplicity. This engineer’s work will affect hundreds of millions of users and be essential to the success of some of the most visible current and future Apple features.",BS or MS in Computer Science or equivalent work experience.
Software Developer,"Santa Clara Valley (Cupertino), California, United States","Typically requires at least 7+ years of hands-on software design experience. Individuals with more experience may assume additional responsibilities. [BS + 7yrs, MS+5yrs]
In-depth software design engineering experience including architecture, development and validation.
Expert level knowledge of MVC, Full stack web development, databases
Expert level knowledge of client-server models, sockets
Experience with web development tools & languages such as: Java, PHP, Ruby on Rails, Ember, Node JS, JSON.
Experience with databases and cloud platforms such as: SQL, postgresql, MongoDB, AWS, Heroku
Experience with Mac OS, Windows, Linux platforms.
Experience with programming and scripting languages such as: Swift, Objective-C, C, C++, Python.
Experience with software revision control tools such as Git.
Ability to communicate well with multi-functional and multi-disciplinary team members and collaborate efficiently to achieve project goals.
Software design in any of these areas is considered a big plus: I2C embedded programming of microcontroller, data analysis, software control systems and advanced math.",,"•Brainstorm, architect and develop software design concepts. 
•Utilize your creative side in developing software solutions while applying engineering principles of computer science, programming, scripting and software test and validation. 
•Generate innovative designs taking into consideration system specification, proven architectural and programming guidelines and coding standards. •Create state of the art Web based and/or client-server apps. 
•Develop application and web based front-end graphical user interface designs for user interaction, data display and visualization. 
•Validate software and verify it meets expected performance and stability. •Conduct technical design reviews with peers and partners to ensure software functionality, usability, traceability and maintainability. 
•Work closely with internal multifunctional engineering teams. 
•Craft software solutions to automate various types of electrical instrumentation including data acquisition, instrumentation control, data gathering, storage, analysis and visualization. 
•Work with and lead interaction with consultants and third party vendors, to gather and generate requirements, propose system architectures and develop software systems and interfaces.","Required: BSCS or BSEE Degree 
Preferred: MSCS and MSEE Degree"
Senior Software Developer / Software Developer,"Singapore, Singapore, Singapore","Strong programming expertise in Java and/or C.
Strong CS fundamentals.
Unix / Linux proficiency.
General understanding of PKI, X.509, ASN.1, key exchange protocols, and authentication protocols.
Experienced with scripting languages; such as Python, Perl, or bash.
Full SDLC experience for multiple projects.
Travel to international manufacturing partners (can be up to 2 weeks at times).
Passionate and self-motivated.
Excellent verbal/written communication skills.
Willingness to take a lead for the project to work with others to get the job done.",,"• We are looking for a strong programmer who will be working on security software development. 
• This software enables Apple to further improves the security features of future products.
• You are an excellent programmer with deep understanding of various security concepts and design patterns to produce high-quality and highly scalable work.
• You are also expected to work with partners, PMs, and cross-discipline teams to understand and capture requirements.
• Lastly, you are passionate about writing good quality code and able to go through the scrutiny of detailed audits.","-  BS in Computer Science or relevant studies, MS preferred"
Software Development Engineer - Software Delivery,"Austin, Texas, United States","Experience delivering and supporting highly scalable and available web services in Unix environments.
Experience designing and implementing web services with REST APIs
Strong Ruby or Python coding skills.
Passion for continually learning and exploring new technologies.
Critical thinking and troubleshooting skills.
The ability to multitask and deliver outstanding work on tight schedules.
Excellent collaborative skills, with strong written and verbal communication.","These are not hard requirements for this position but we like interviewing candidates who have an interest in learning about or existing experience with:
- Distributed computing technologies such as Mesos.
- Messages buses such Kafka or Rabbit MQ.
- BLOB storage technologies.
- Puppet or other configuration management tools.
- Splunk/Grafana/Graphite or other monitoring tools.","This job will provide you with: 

- A team of highly skilled co-workers ready to both mentor and learn from you. 
- A flexible working environment. 
- Unique distributed computing problems with an open mind on how they can be solved. 
- The opportunity to collaborate with talented engineering teams across a wide range of technology disciplines. 
- The possibility of supporting the development of new Apple hardware and software features.",- B.S. in Computer Science or related work experience
Camera Software - SW UI Manager,"Santa Clara Valley (Cupertino), California, United States","Experience leading or running a small team
Shipped applications on iOS or macOS
Shown ability to excel in a dynamic development team
Strong communication skills",,You are a highly motivated and enthusiastic individual that combines deep technical knowledge with tight-knit collaboration and excellent communication skills. You should have a consistent record delivering user experience innovations in shipping applications.,BS in Computer Science or equivalent experience
Software Development Engineer - SW Delivery,"Santa Clara Valley (Cupertino), California, United States","Experience delivering and supporting highly scalable and available web services in Unix environments.
Experience designing and implementing web services with REST APIs
Strong Python coding skills.
Passion for continually learning and exploring new technologies.
Critical thinking and troubleshooting skills.
The ability to multitask and deliver outstanding work on tight schedules.
Excellent collaborative skills, with strong written and verbal communication.","Desired, but not required for this position is an interest in learning about or existing experience with:
- Distributed computing technologies such as Mesos and Spark.
- Messages buses such Kafka or Rabbit MQ.
- BLOB storage technologies.
- Puppet or other configuration management tools.
- Splunk/Grafana/Graphite or other monitoring tools.","This job will provide you with: 
- A team of highly skilled co-workers ready to both mentor and learn from you.
- A flexible working environment. 
- Unique distributed computing problems with an open mind on how they can be solved. 
- The opportunity to collaborate with talented engineering teams across a wide range of technology disciplines.
- The possibility of supporting the development of new Apple hardware and software features.",- B.S. in Computer Science or related work experience
